0.00 1.00 4116231.50 664971.00 -0.39 0.50 19.50 1 4.00 6.00 1.00 1.00
0.00 1.00 4116214.00 664988.50 -0.93 0.49 22.75 1 4.00 6.00 1.00 2.00
0.00 1.00 4116196.50 664971.00 -0.94 0.56 23.25 1 4.00 6.00 1.00 3.00
0.00 1.00 4116214.00 664953.50 -0.97 0.54 21.50 1 4.00 6.00 1.00 4.00
0.00 0.00 4116256.50 664820.00 0.99 0.67 21.25 1 2.00 3.00 1.00 5.00
0.00 0.00 4116239.00 664837.50 0.93 0.68 19.50 1 2.00 3.00 1.00 6.00
0.00 1.00 4116221.50 664820.00 0.49 0.59 24.00 1 2.00 3.00 1.00 7.00
0.00 0.00 4116239.00 664802.50 0.97 0.55 29.00 1 2.00 3.00 1.00 8.00
0.00 1.00 4116373.50 664846.00 0.14 0.78 3.25 1 2.00 2.00 1.00 9.00
0.00 1.00 4116356.00 664863.50 -0.28 0.78 0.50 1 2.00 1.00 1.00 10.00
0.00 1.00 4116338.50 664846.00 -0.22 0.78 1.50 1 2.00 1.00 1.00 11.00
0.00 0.00 4116356.00 664828.50 0.44 0.77 5.00 1 2.00 2.00 1.00 12.00
0.00 0.00 4116092.50 665092.00 0.45 0.54 19.00 1 4.00 5.00 1.00 13.00
0.00 0.00 4116075.00 665109.50 0.44 0.49 24.50 1 4.00 5.00 1.00 14.00
0.00 1.00 4116057.50 665092.00 0.45 0.44 26.50 1 4.00 5.00 1.00 15.00
0.00 0.00 4116075.00 665074.50 0.37 0.51 20.50 1 4.00 5.00 1.00 16.00
0.00 1.00 4116089.50 665385.00 0.03 0.43 13.00 1 4.00 6.00 1.00 17.00
0.00 1.00 4116072.00 665402.50 0.01 0.49 17.50 1 4.00 6.00 1.00 18.00
0.00 1.00 4116054.50 665385.00 0.20 0.50 17.75 1 4.00 5.00 1.00 19.00
0.00 1.00 4116072.00 665367.50 0.19 0.42 14.25 1 4.00 5.00 1.00 20.00
0.00 1.00 4116159.50 665247.00 -0.10 0.44 22.75 1 4.00 6.00 1.00 21.00
0.00 1.00 4116142.00 665264.50 8.726203e-03 0.31 25.00 1 4.00 6.00 1.00 22.00
0.00 1.00 4116124.50 665247.00 0.03 0.31 24.75 1 4.00 6.00 1.00 23.00
0.00 1.00 4116142.00 665229.50 -0.06 0.45 26.00 1 4.00 6.00 1.00 24.00
0.00 1.00 4116282.50 665265.00 -0.66 0.47 1.25 1 4.00 9.00 1.00 25.00
1.00 1.00 4116265.00 665282.50 -0.39 0.47 3.00 1 4.00 9.00 1.00 26.00
0.00 1.00 4116247.50 665265.00 -0.62 0.48 3.50 1 4.00 9.00 1.00 27.00
0.00 1.00 4116265.00 665247.50 -0.50 0.48 3.00 1 4.00 9.00 1.00 28.00
0.00 1.00 4116254.50 665551.00 -0.57 0.20 20.00 0 4.00 6.00 1.00 29.00
0.00 1.00 4116237.00 665568.50 -0.56 0.25 19.00 0 4.00 6.00 1.00 30.00
0.00 1.00 4116219.50 665551.00 -0.52 0.29 16.75 1 4.00 6.00 1.00 31.00
0.00 1.00 4116237.00 665533.50 -0.56 0.23 18.00 0 4.00 6.00 1.00 32.00
0.00 1.00 4116193.50 665893.00 -0.80 0.14 12.75 0 4.00 6.00 1.00 33.00
